time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,20,9,0,0
2026-04-09 00:00:00+00:00,11,4,0,0
2026-04-10 00:00:00+00:00,22,6,0,0
2026-04-11 00:00:00+00:00,12,6,0,0
2026-04-12 00:00:00+00:00,25,8,0,0
2026-04-13 00:00:00+00:00,13,6,0,0
2026-04-14 00:00:00+00:00,12,5,0,0
2026-04-15 00:00:00+00:00,24,8,0,0
2026-04-16 00:00:00+00:00,44,14,0,0
2026-04-17 00:00:00+00:00,28,9,0,0
2026-04-18 00:00:00+00:00,14,7,0,0
2026-04-19 00:00:00+00:00,34,12,0,0
2026-04-20 00:00:00+00:00,42,22,0,0
2026-04-21 00:00:00+00:00,73,27,0,0
